"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Artificial Anasazi_experiments.nlogo"
"experiment single run"
"02/06/2025 23:30:32:124 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","79","0","119"
"[run number]","fertility","death-age","harvest-variance","fertility-ends-age","harvest-adjustment","map-view","historic-view?","[step]","total-households","historical-total-households"
"1","0.155","38","0.4","34","0.54","zones","true","152","22","67"
"1","0.155","38","0.4","34","0.54","zones","true","153","19","67"
"1","0.155","38","0.4","34","0.54","zones","true","154","20","67"
"1","0.155","38","0.4","34","0.54","zones","true","155","20","67"
"1","0.155","38","0.4","34","0.54","zones","true","156","19","67"
"1","0.155","38","0.4","34","0.54","zones","true","157","19","67"
"1","0.155","38","0.4","34","0.54","zones","true","158","20","67"
"1","0.155","38","0.4","34","0.54","zones","true","159","18","67"
"1","0.155","38","0.4","34","0.54","zones","true","160","16","67"
"1","0.155","38","0.4","34","0.54","zones","true","161","15","66"
"1","0.155","38","0.4","34","0.54","zones","true","162","16","67"
"1","0.155","38","0.4","34","0.54","zones","true","163","14","67"
"1","0.155","38","0.4","34","0.54","zones","true","164","14","67"
"1","0.155","38","0.4","34","0.54","zones","true","165","12","67"
"1","0.155","38","0.4","34","0.54","zones","true","166","13","67"
"1","0.155","38","0.4","34","0.54","zones","true","167","16","67"
"1","0.155","38","0.4","34","0.54","zones","true","168","16","66"
"1","0.155","38","0.4","34","0.54","zones","true","169","15","66"
"1","0.155","38","0.4","34","0.54","zones","true","170","14","66"
"1","0.155","38","0.4","34","0.54","zones","true","171","14","66"
"1","0.155","38","0.4","34","0.54","zones","true","172","14","69"
"1","0.155","38","0.4","34","0.54","zones","true","173","15","69"
"1","0.155","38","0.4","34","0.54","zones","true","174","14","69"
"1","0.155","38","0.4","34","0.54","zones","true","175","15","69"
"1","0.155","38","0.4","34","0.54","zones","true","176","17","65"
"1","0.155","38","0.4","34","0.54","zones","true","177","18","68"
"1","0.155","38","0.4","34","0.54","zones","true","178","18","68"
"1","0.155","38","0.4","34","0.54","zones","true","179","18","68"
"1","0.155","38","0.4","34","0.54","zones","true","180","19","68"
"1","0.155","38","0.4","34","0.54","zones","true","181","19","66"
"1","0.155","38","0.4","34","0.54","zones","true","182","19","67"
"1","0.155","38","0.4","34","0.54","zones","true","183","19","67"
"1","0.155","38","0.4","34","0.54","zones","true","184","19","67"
"1","0.155","38","0.4","34","0.54","zones","true","185","18","66"
"1","0.155","38","0.4","34","0.54","zones","true","186","20","66"
"1","0.155","38","0.4","34","0.54","zones","true","187","19","66"
"1","0.155","38","0.4","34","0.54","zones","true","188","20","66"
"1","0.155","38","0.4","34","0.54","zones","true","189","20","66"
"1","0.155","38","0.4","34","0.54","zones","true","190","19","66"
"1","0.155","38","0.4","34","0.54","zones","true","191","20","66"
"1","0.155","38","0.4","34","0.54","zones","true","192","21","68"
"1","0.155","38","0.4","34","0.54","zones","true","193","22","68"
"1","0.155","38","0.4","34","0.54","zones","true","194","22","68"
"1","0.155","38","0.4","34","0.54","zones","true","195","22","68"
"1","0.155","38","0.4","34","0.54","zones","true","196","24","68"
"1","0.155","38","0.4","34","0.54","zones","true","197","26","68"
"1","0.155","38","0.4","34","0.54","zones","true","198","28","68"
"1","0.155","38","0.4","34","0.54","zones","true","199","31","68"
"1","0.155","38","0.4","34","0.54","zones","true","200","32","68"
"1","0.155","38","0.4","34","0.54","zones","true","201","35","87"
"1","0.155","38","0.4","34","0.54","zones","true","202","38","87"
"1","0.155","38","0.4","34","0.54","zones","true","203","37","87"
"1","0.155","38","0.4","34","0.54","zones","true","204","37","87"
"1","0.155","38","0.4","34","0.54","zones","true","205","34","87"
"1","0.155","38","0.4","34","0.54","zones","true","206","35","87"
"1","0.155","38","0.4","34","0.54","zones","true","207","34","87"
"1","0.155","38","0.4","34","0.54","zones","true","208","37","86"
"1","0.155","38","0.4","34","0.54","zones","true","209","39","86"
"1","0.155","38","0.4","34","0.54","zones","true","210","40","87"
"1","0.155","38","0.4","34","0.54","zones","true","211","40","85"
"1","0.155","38","0.4","34","0.54","zones","true","212","41","86"
"1","0.155","38","0.4","34","0.54","zones","true","213","43","86"
"1","0.155","38","0.4","34","0.54","zones","true","214","42","87"
"1","0.155","38","0.4","34","0.54","zones","true","215","43","87"
"1","0.155","38","0.4","34","0.54","zones","true","216","46","87"
"1","0.155","38","0.4","34","0.54","zones","true","217","47","87"
"1","0.155","38","0.4","34","0.54","zones","true","218","53","88"
"1","0.155","38","0.4","34","0.54","zones","true","219","60","88"
"1","0.155","38","0.4","34","0.54","zones","true","220","66","88"
"1","0.155","38","0.4","34","0.54","zones","true","221","65","87"
"1","0.155","38","0.4","34","0.54","zones","true","222","66","87"
"1","0.155","38","0.4","34","0.54","zones","true","223","67","87"
"1","0.155","38","0.4","34","0.54","zones","true","224","72","87"
"1","0.155","38","0.4","34","0.54","zones","true","225","71","87"
"1","0.155","38","0.4","34","0.54","zones","true","226","74","88"
"1","0.155","38","0.4","34","0.54","zones","true","227","74","90"
"1","0.155","38","0.4","34","0.54","zones","true","228","75","90"
"1","0.155","38","0.4","34","0.54","zones","true","229","74","90"
"1","0.155","38","0.4","34","0.54","zones","true","230","74","90"
"1","0.155","38","0.4","34","0.54","zones","true","231","76","89"
"1","0.155","38","0.4","34","0.54","zones","true","232","83","91"
"1","0.155","38","0.4","34","0.54","zones","true","233","91","92"
"1","0.155","38","0.4","34","0.54","zones","true","234","92","92"
"1","0.155","38","0.4","34","0.54","zones","true","235","94","95"
"1","0.155","38","0.4","34","0.54","zones","true","236","94","95"
"1","0.155","38","0.4","34","0.54","zones","true","237","97","95"
"1","0.155","38","0.4","34","0.54","zones","true","238","96","95"
"1","0.155","38","0.4","34","0.54","zones","true","239","95","97"
"1","0.155","38","0.4","34","0.54","zones","true","240","96","97"
"1","0.155","38","0.4","34","0.54","zones","true","241","99","94"
"1","0.155","38","0.4","34","0.54","zones","true","242","102","94"
"1","0.155","38","0.4","34","0.54","zones","true","243","104","94"
"1","0.155","38","0.4","34","0.54","zones","true","244","109","94"
"1","0.155","38","0.4","34","0.54","zones","true","245","111","95"
"1","0.155","38","0.4","34","0.54","zones","true","246","112","95"
"1","0.155","38","0.4","34","0.54","zones","true","247","114","95"
"1","0.155","38","0.4","34","0.54","zones","true","248","121","95"
"1","0.155","38","0.4","34","0.54","zones","true","249","122","95"
"1","0.155","38","0.4","34","0.54","zones","true","250","134","95"
"1","0.155","38","0.4","34","0.54","zones","true","251","134","134"
"1","0.155","38","0.4","34","0.54","zones","true","252","134","139"
"1","0.155","38","0.4","34","0.54","zones","true","253","134","139"
"1","0.155","38","0.4","34","0.54","zones","true","254","134","139"
"1","0.155","38","0.4","34","0.54","zones","true","255","134","139"
"1","0.155","38","0.4","34","0.54","zones","true","256","134","139"
"1","0.155","38","0.4","34","0.54","zones","true","257","134","139"
"1","0.155","38","0.4","34","0.54","zones","true","258","132","142"
"1","0.155","38","0.4","34","0.54","zones","true","259","134","142"
"1","0.155","38","0.4","34","0.54","zones","true","260","134","142"
"1","0.155","38","0.4","34","0.54","zones","true","261","132","142"
"1","0.155","38","0.4","34","0.54","zones","true","262","134","143"
"1","0.155","38","0.4","34","0.54","zones","true","263","134","143"
"1","0.155","38","0.4","34","0.54","zones","true","264","134","146"
"1","0.155","38","0.4","34","0.54","zones","true","265","134","146"
"1","0.155","38","0.4","34","0.54","zones","true","266","134","146"
"1","0.155","38","0.4","34","0.54","zones","true","267","134","146"
"1","0.155","38","0.4","34","0.54","zones","true","268","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","269","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","270","134","153"
"1","0.155","38","0.4","34","0.54","zones","true","271","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","272","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","273","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","274","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","275","134","151"
"1","0.155","38","0.4","34","0.54","zones","true","276","134","156"
"1","0.155","38","0.4","34","0.54","zones","true","277","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","278","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","279","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","280","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","281","134","163"
"1","0.155","38","0.4","34","0.54","zones","true","282","134","163"
"1","0.155","38","0.4","34","0.54","zones","true","283","134","163"
"1","0.155","38","0.4","34","0.54","zones","true","284","134","163"
"1","0.155","38","0.4","34","0.54","zones","true","285","134","165"
"1","0.155","38","0.4","34","0.54","zones","true","286","134","165"
"1","0.155","38","0.4","34","0.54","zones","true","287","133","165"
"1","0.155","38","0.4","34","0.54","zones","true","288","131","165"
"1","0.155","38","0.4","34","0.54","zones","true","289","131","164"
"1","0.155","38","0.4","34","0.54","zones","true","290","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","291","134","163"
"1","0.155","38","0.4","34","0.54","zones","true","292","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","293","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","294","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","295","134","161"
"1","0.155","38","0.4","34","0.54","zones","true","296","134","162"
"1","0.155","38","0.4","34","0.54","zones","true","297","134","162"
"1","0.155","38","0.4","34","0.54","zones","true","298","134","162"
"1","0.155","38","0.4","34","0.54","zones","true","299","134","162"
"1","0.155","38","0.4","34","0.54","zones","true","300","134","162"
"1","0.155","38","0.4","34","0.54","zones","true","301","134","161"
"1","0.155","38","0.4","34","0.54","zones","true","302","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","303","134","164"
"1","0.155","38","0.4","34","0.54","zones","true","304","134","165"
"1","0.155","38","0.4","34","0.54","zones","true","305","134","165"
"1","0.155","38","0.4","34","0.54","zones","true","306","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","307","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","308","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","309","134","167"
"1","0.155","38","0.4","34","0.54","zones","true","310","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","311","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","312","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","313","134","166"
"1","0.155","38","0.4","34","0.54","zones","true","314","134","159"
"1","0.155","38","0.4","34","0.54","zones","true","315","132","159"
"1","0.155","38","0.4","34","0.54","zones","true","316","134","160"
"1","0.155","38","0.4","34","0.54","zones","true","317","134","160"
"1","0.155","38","0.4","34","0.54","zones","true","318","134","158"
"1","0.155","38","0.4","34","0.54","zones","true","319","134","159"
"1","0.155","38","0.4","34","0.54","zones","true","320","134","160"
"1","0.155","38","0.4","34","0.54","zones","true","321","134","160"
"1","0.155","38","0.4","34","0.54","zones","true","322","133","161"
"1","0.155","38","0.4","34","0.54","zones","true","323","134","162"
"1","0.155","38","0.4","34","0.54","zones","true","324","133","162"
"1","0.155","38","0.4","34","0.54","zones","true","325","134","162"
"1","0.155","38","0.4","34","0.54","zones","true","326","130","148"
"1","0.155","38","0.4","34","0.54","zones","true","327","132","150"
"1","0.155","38","0.4","34","0.54","zones","true","328","133","151"
"1","0.155","38","0.4","34","0.54","zones","true","329","132","151"
"1","0.155","38","0.4","34","0.54","zones","true","330","129","151"
"1","0.155","38","0.4","34","0.54","zones","true","331","121","151"
"1","0.155","38","0.4","34","0.54","zones","true","332","116","151"
"1","0.155","38","0.4","34","0.54","zones","true","333","112","149"
"1","0.155","38","0.4","34","0.54","zones","true","334","110","149"
"1","0.155","38","0.4","34","0.54","zones","true","335","102","147"
"1","0.155","38","0.4","34","0.54","zones","true","336","99","148"
"1","0.155","38","0.4","34","0.54","zones","true","337","98","148"
"1","0.155","38","0.4","34","0.54","zones","true","338","95","148"
"1","0.155","38","0.4","34","0.54","zones","true","339","91","148"
"1","0.155","38","0.4","34","0.54","zones","true","340","88","150"
"1","0.155","38","0.4","34","0.54","zones","true","341","87","150"
"1","0.155","38","0.4","34","0.54","zones","true","342","86","150"
